model,seed,param_idx,gradient
QCN,0,0,-0.10701116002423898
QCN,0,1,0.07495145811718024
QCN,0,2,0.01550873044022917
QCN,0,3,-0.14963369785472944
QCN,0,4,8.000880856945915e-05
QCN,0,5,0.0385511801221228
QCN,1,0,0.011864057906746077
QCN,1,1,0.027160756366276982
QCN,1,2,0.008412356068271013
QCN,1,3,-0.0698553841378586
QCN,1,4,-0.010544449997281394
QCN,1,5,0.0005216791985247978
QCN,2,0,-0.02974896126066174
QCN,2,1,0.02229660676772639
QCN,2,2,0.034476875259179605
QCN,2,3,0.024372636277021187
QCN,2,4,-0.0006218998686192808
QCN,2,5,0.004943027915443922
QCN,3,0,0.00391469210201564
QCN,3,1,-0.002507901893711933
QCN,3,2,-0.004738461320054875
QCN,3,3,0.0005948461153936883
QCN,3,4,0.0030436349828573224
QCN,3,5,-0.0020057213719733074
QCN,4,0,-0.09762550822490174
QCN,4,1,0.0071938057801715334
QCN,4,2,0.009718430420990052
QCN,4,3,-0.18948291947363724
QCN,4,4,-0.01649387806295697
QCN,4,5,0.006172252216521039
QCN,5,0,0.04530996754045829
QCN,5,1,-0.06152334436438744
QCN,5,2,-0.04672669505125945
QCN,5,3,0.032243855557051025
QCN,5,4,0.002947198022418006
QCN,5,5,-0.0026837158854991685
QCN,6,0,-0.0013887929695669825
QCN,6,1,-0.025786135138129256
QCN,6,2,-0.010146050877072075
QCN,6,3,-0.0426365265784352
QCN,6,4,0.007150328162550542
QCN,6,5,-0.0008942279113341955
QCN,7,0,-0.01992637037644682
QCN,7,1,-0.0024724527235659476
QCN,7,2,0.0006354323608468576
QCN,7,3,0.0038570179475724124
QCN,7,4,-0.005649067781891272
QCN,7,5,0.014698479560930051
QCN,8,0,-0.05381790351673927
QCN,8,1,-0.13099000648580753
QCN,8,2,-0.009809211495385451
QCN,8,3,0.2732703099186361
QCN,8,4,-0.0014880349315608767
QCN,8,5,0.00046308088252224836
QCN,9,0,0.020842524359191376
QCN,9,1,0.024094439578400483
QCN,9,2,-0.0012165130249919085
QCN,9,3,-0.15444504769262557
QCN,9,4,0.05267037816927332
QCN,9,5,0.015292160463632909
QCN,10,0,-0.013404699820479551
